STU_ID,X1SEX,X1SCIEFF,X1MTHEFF,X1SES,P2REPEATGK,P2REPEATG1,P2REPEATG2,P2REPEATG3,P2REPEATG4,P2REPEATG5,P2REPEATG6,P2REPEATG7,P2REPEATG8,P2REPEATG9,P2REPEATG10,X1TXMTH,X2MEFFORT,X2SEFFORT,X3HSCOMPSTAT
34692,1,-2.6,-7,-1.2803,1,0,0,0,0,0,0,0,0,0,0,0.0516,1.18,1.1,1
34693,2,-7,-0.61,-0.7488,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.2521,0.85,-0.1,5
34694,2,1.83,1.62,0.3121,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.6669,0.52,-7,4
34695,1,-0.05,0.1,-0.2813,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.2157,0.54,0.48,1
34696,1,0.25,0.1,-0.2379,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.3316,-8,-8,4
34697,1,0.68,0.1,-0.7062,0,0,0,0,0,0,0,0,0,1,0,-0.5796,1.18,1.1,1
34698,1,1.83,1.34,-0.6665,0,0,0,0,0,0,0,0,0,0,0,1.8041,0.5,-0.21,1
34699,1,-7,-1.41,-0.9782,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.5638,-1.48,-0.88,1
34700,1,0.25,-7,-0.8155,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.6815,-7,0.47,1
34701,2,0.25,-0.29,-0.0103,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.1124,-8,-8,1
34703,2,-0.46,-0.34,-0.1561,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.0513,-0.78,-7,1
34704,2,-0.05,-0.13,0.3625,0,0,0,0,0,0,0,0,0,0,0,0.1285,0.19,-7,1
34705,2,-0.05,-0.03,-0.7357,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2.0196,-8,-8,1
34706,2,-1.45,-1.24,-1.5696,0,0,0,0,0,0,0,0,0,0,1,-0.1934,-7,-7,4
34707,2,-7,0.1,0.3962,0,0,0,0,0,0,0,0,0,0,0,0.8079,0.54,0.47,1
34708,2,0.25,0.1,-1.0832,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.5284,-9,-9,1
34710,1,1.83,1.62,0.526,0,0,0,0,0,1,0,0,0,0,0,0.389,1.18,1.1,5
34711,2,-1.74,-1.14,0.6782,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.9921,0.19,-1.19,1
34714,1,0.25,0.1,0.7692,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.3654,0.54,0.46,1
34715,1,1.4,1.62,0.984,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.837,-0.43,-9,1
34716,1,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-1.46,-1.48,5
34718,1,-0.9,0.1,1.1218,0,0,0,0,0,0,0,0,0,0,0,1.0725,-0.82,-0.82,1
34719,1,-0.59,0.1,-0.4318,0,0,0,0,0,0,0,0,0,0,0,0.8433,-0.14,0.15,1
34720,1,-7,-7,0.2955,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.0229,-8,-8,1
34721,1,-1.75,0.1,0.9182,0,0,0,0,0,0,0,0,0,0,0,1.4,0.54,0.47,1
34722,2,-7,0.1,-0.4615,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1.1026,-8,-8,1
34724,2,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,1.18,1.1,1
34725,1,0.25,-0.17,1.2926,0,0,0,0,0,0,0,0,0,0,0,0.9762,0.52,0.79,1
34726,2,0.25,0.1,-0.1216,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.1856,-0.45,0.8,1
34727,2,-0.05,1.34,0.247,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0.1753,0.19,-7,1
34729,1,-7,-7,-1.2098,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.2622,0.52,-7,1
34730,2,-0.05,-0.17,-0.2066,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.5238,-8,-8,4
34731,2,-0.49,-0.85,0.1708,0,0,0,0,0,0,0,0,0,0,0,0.1276,0.19,0.15,1
34732,1,-0.48,-0.17,0.4756,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.5955,0.54,0.15,1
34733,1,1.53,-0.29,0.2213,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.0673,-0.47,-0.19,1
34734,1,0.25,0.1,0.2033,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.8072,0.21,-1.48,1
34735,1,1.83,0.1,0.1049,0,0,0,0,0,0,0,0,0,0,0,1.3391,0.21,0.14,1
34736,1,-0.48,0.95,-0.1505,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.9493,-0.14,-0.47,1
34737,1,0.25,0.1,-0.4348,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.4445,-0.12,-0.2,1
34738,1,-8,-8,-8,0,0,0,0,0,0,0,0,0,0,0,-8,1.18,0.79,1
34739,2,1.83,-0.56,-0.4635,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.9637,0.21,0.8,1
34740,2,0.68,0.1,-0.817,0,0,0,0,0,0,0,0,0,0,0,0.7418,-9,-0.17,1
