STU_ID,BYSTLANG,BYENGLSE,BYHOMLNG,BYSTLNG2,BYSES1,BYSES2,BYP50A,BYP50B,BYP50C,BYP50D,BYP50E,BYP50F,BYP50G,BYP50H,F2HSSTAT
387213,1,1.596,1,4,1.04,1.22,0,0,0,0,0,0,0,1,1
387214,1,0.331,1,4,0.15,0.14,-4,-4,-4,-4,-4,-4,-4,-4,10
387216,1,1.335,1,4,0.17,0.09,-3,-3,-3,-3,-3,-3,-3,-3,1
387217,1,-9,1,4,0.1,-0.05,-3,-3,-3,-3,-3,-3,-3,-3,1
387218,1,0.893,1,4,0.6,0.32,-3,-3,-3,-3,-3,-3,-3,-3,1
387220,1,1.034,1,4,0.07,-0.08,-3,-3,-3,-3,-3,-3,-3,-3,1
387221,1,1.596,1,4,-0.51,-0.35,-3,-3,-3,-3,-3,-3,-3,-3,1
387222,1,0.331,1,4,0.04,-0.09,-3,-3,-3,-3,-3,-3,-3,-3,1
387223,1,1.407,1,4,-0.32,-0.16,-3,-3,-3,-3,-3,-3,-3,-3,1
388101,1,1.407,1,4,0.92,0.83,-4,-4,-4,-4,-4,-4,-4,-4,1
388102,1,1.034,1,4,0.84,0.59,-3,-3,-3,-3,-3,-3,-3,-3,1
388103,1,-9,1,4,0.46,0.45,-3,-3,-3,-3,-3,-3,-3,-3,1
388105,1,0.82,1,4,0.32,0.07,-3,-3,-3,-3,-3,-3,-3,-3,1
388106,1,-0.933,1,4,0.94,0.98,-3,-3,-3,-3,-3,-3,-3,-3,1
388107,1,0.451,1,4,1.19,1.22,-3,-3,-3,-3,-3,-3,-3,-3,1
388108,1,-0.933,1,4,0.99,0.91,-3,-3,-3,-3,-3,-3,-3,-3,1
388109,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
388110,1,1.115,1,4,0.26,0.34,-3,-3,-3,-3,-3,-3,-3,-3,1
388111,1,-0.395,1,4,0.45,0.36,-3,-3,-3,-3,-3,-3,-3,-3,1
388112,1,0.893,1,4,0.34,0.09,-3,-3,-3,-3,-3,-3,-3,-3,2
388113,1,1.407,1,4,0.55,0.14,-3,-3,-3,-3,-3,-3,-3,-3,1
388114,1,-0.933,1,4,-0.01,-0.14,-3,-3,-3,-3,-3,-3,-3,-3,1
388115,1,1.407,1,4,1.3,1.48,-3,-3,-3,-3,-3,-3,-3,-3,1
388116,1,-9,-9,4,-0.27,-0.4,-3,-3,-3,-3,-3,-3,-3,-3,1
388117,1,-1.122,1,4,-0.33,-0.22,-3,-3,-3,-3,-3,-3,-3,-3,1
