STU_ID,BYSEX,BYENGLSE,BYSES1,BYSES2,BYS24F,BYGRDRPT,BYLGRRPT,BYTXMSTD,BYPISAME,BYACTCTL,F2HSSTAT
217113,1,1.596,1.16,1.27,1,0,-3,62.74,609.04,0.548,1
217114,1,0.339,-1.41,-1.41,1,0,-3,54.2,526.04,0.326,1
217115,1,-9,-0.4,-0.65,1,1,6,46.4,457.72,-9,1
217117,1,-9,0.35,0.26,1,98,98,46.22,456.14,-9,1
217118,1,-9,-0.31,-0.35,1,0,-3,47.95,471.25,-9,1
217119,1,-9,0.31,0.42,1,1,10,52.85,513.63,-9,3
217120,2,-9,0.44,0.18,1,0,-3,58.62,569.92,-9,1
217121,2,0.285,-0.51,-0.43,1,0,-3,52.13,507.21,-9,1
217122,1,-9,-1.6,-1.45,1,1,5,35.89,364.68,-9,1
217123,1,-9,0.65,0.57,1,1,1,38.73,385.51,-9,1
217124,2,0.412,0.82,0.86,1,0,-3,59.76,581.7,1.48,1
217125,2,0.331,-0.18,-0.48,1,0,-3,55.27,536.26,0.326,6
217127,1,-1.202,-0.11,0.01,1,0,-3,51.44,501.17,-1.271,1
217129,2,-9,0.55,0.57,1,0,-3,45.22,447.23,-9,1
217201,2,-9,-0.05,-0.07,1,0,-3,42.2,418.98,-9,1
217202,2,-9,0.34,0.09,1,0,-3,38.07,379.27,-0.232,2
217204,1,1.219,-0.34,-0.35,1,98,98,54.66,530.39,1.157,1
217205,2,-0.08,0.54,0.43,1,0,-3,43.84,434.51,0.859,1
217206,2,0.07,-0.24,-0.09,1,0,-3,55.08,534.44,-9,1
217207,2,-1.383,0.8,0.92,1,0,-3,39.81,395.86,0.562,1
217208,1,-0.933,0.82,0.94,1,0,-3,46.09,455,-9,1
217209,2,-9,-0.79,-0.68,1,0,-3,29.18,331.59,-9,1
217210,1,1.138,0.47,0.38,1,0,-3,56.42,547.63,0.89,1
217212,1,-0.933,0.67,0.42,1,0,-3,43.87,434.78,-9,1
217213,1,-9,0.2,0.08,1,1,1,40.35,401.15,-9,9
217214,1,-0.641,-0.58,-0.42,1,98,98,45.01,445.32,-0.796,3
217216,1,1.596,-0.32,-0.32,1,1,10,38.55,383.86,0.034,6
217217,2,-9,0.96,0.98,1,0,-3,59.87,582.82,-9,1
217218,1,-9,-0.92,-0.78,4,98,98,36.31,367.3,-9,10
217219,1,-1.194,0.83,0.87,1,0,-3,71.26,667.98,-9,1
217220,2,1.596,0.9,1.01,1,0,-3,33.28,349.79,1.702,1
217221,1,-9,0.37,0.4,1,1,7,43.92,435.26,-9,1
217222,1,0.631,-1.19,-1.38,1,1,10,38.37,382.13,-9,8
217223,1,-1.486,-0.87,-0.7,1,0,-3,41.94,416.48,-0.479,1
217224,2,0.135,1.33,1.51,1,0,-3,65.47,629.07,0.82,1
217225,2,-9,-0.09,-0.36,1,98,98,48.25,473.8,-9,1
217226,2,-9,0.32,0.43,1,98,98,44.19,437.74,-9,1
217227,1,1.407,0.98,1.16,1,0,-3,69.56,656.94,0.859,1
217228,2,-1.114,-0.1,-0.02,1,0,-3,51.66,503.04,0.694,1
217229,2,-9,-0.5,-0.65,-7,0,-3,55.73,540.79,-9,1
217230,2,-9,-0.77,-0.6,1,98,98,43.4,430.43,-9,1
217231,2,-9,-1.15,-1,1,2,10,31.7,342.06,-9,1
217232,2,-9,-0.13,-0.13,2,98,98,38.94,387.51,-9,1
217233,2,-9,-0.3,-0.32,1,0,-3,42,417.06,-0.49,1
217234,2,0.631,0.46,0.58,1,0,-3,60.8,592.23,1.258,1
217235,1,-9,-0.05,0.12,1,98,98,64.13,619.4,-9,1
217306,1,0.039,-1.75,-1.69,1,98,98,50.9,496.49,0.326,2
217307,2,0.143,0.97,1.01,1,0,-3,58.72,570.96,-0.263,1
217308,2,-0.933,-0.69,-0.58,1,0,-3,70.18,661.04,-1.049,1
217313,1,-1.187,1.17,1.05,1,0,-3,54.93,532.97,-0.516,1
217314,1,-9,0.53,0.75,-7,98,98,50.05,489.12,-9,2
217315,1,0.958,-0.61,-0.58,1,98,98,59.26,576.53,-2.424,1
217317,2,-0.745,0.26,0.24,1,0,-3,67.59,643.71,0.801,1
217319,1,0.331,0.11,-0.08,1,98,98,54.63,530.13,1.48,1
217320,1,-0.745,0.28,0.16,1,98,98,68.62,650.71,-0.796,1
217321,1,-9,0.56,0.29,-7,98,98,47.72,469.27,-9,1
217322,2,-0.41,-1.01,-0.98,1,0,-3,54.38,527.81,-0.516,2
217323,2,-0.933,-0.02,-0.23,1,0,-3,45.25,447.49,-1.835,1
218104,2,-9,0.21,0.33,1,0,-3,40.24,400,-9,1
218105,1,0.331,0.57,0.59,1,0,-3,38.25,381.02,0.326,1
218107,1,-9,-0.69,-0.58,1,0,-3,41.88,415.9,-9,1
218109,2,-9,-1.09,-1.2,2,1,1,41.62,413.43,-9,10
218112,2,0.039,0.59,0.5,3,0,-3,55.24,535.95,-0.516,3
218113,2,-9,-0.45,-0.43,3,0,-3,44.98,445.03,-9,1
218114,2,1.081,-1.18,-1.09,1,0,-3,49.53,484.68,1.702,10
218201,2,-0.933,0.13,0.19,1,0,-3,46.2,455.96,-0.796,1
218202,1,-0.933,-1.16,-1.05,2,0,-3,34.68,357.4,-1.563,8
218203,1,-9,0.24,0.39,1,98,98,31.41,340.73,-9,1
218204,2,-0.933,-0.45,-0.4,1,0,-3,50.45,492.55,-1.049,1
218205,2,-1.636,-0.28,-0.16,1,0,-3,30.48,336.71,-0.726,2
218206,2,-0.387,-0.95,-0.86,1,0,-3,43.16,428.09,0.015,1
218208,2,-0.118,0.16,-0.27,1,1,3,35.51,362.32,-9,1
218211,2,-9,-0.19,-0.28,-9,98,98,40.1,398.66,-9,1
218212,2,-0.118,0.08,0.14,1,0,-3,42.11,418.11,0.326,1
218213,2,-0.103,-0.92,-0.84,1,0,-3,52.79,513.12,0.371,1
218214,2,0.331,0.29,0.41,1,0,-3,59.08,574.74,-0.282,1
218215,1,1.042,-0.4,-0.29,1,0,-3,53.31,517.84,0.548,1
218216,1,-9,0.26,-0.04,1,0,-3,43.49,431.21,-9,1
218217,2,-9,-0.47,-0.5,2,0,-3,45.82,452.63,-9,1
218218,1,-9,0.2,0.23,3,0,-3,53.7,521.37,-9,1
218219,2,-9,-0.36,-0.27,1,0,-3,54.61,529.94,-9,1
218220,1,-9,-1,-0.92,3,1,10,47.5,467.35,-9,3
218221,2,-0.483,-0.36,-0.28,1,98,98,41.48,412.02,0.326,1
218222,1,-0.641,0.19,0.04,1,2,10,48.24,473.67,-0.827,1
218224,2,-9,-0.32,-0.47,2,1,2,40.15,399.18,-9,10
218225,1,-9,-0.31,-0.26,2,0,-3,38.34,381.86,-9,2
218226,1,-0.68,0.19,0.07,1,0,-3,48.77,478.28,-0.44,1
218261,-8,-8,-8,-8,-8,1,7,-8,-8,-8,1
218262,-8,-8,-8,-8,-8,1,0,-8,-8,-8,1
219101,2,1.154,-0.58,-0.43,1,98,98,42.48,421.63,1.449,8
219102,2,1.034,0.5,0.65,1,0,-3,58.48,568.53,-0.827,1
219103,2,1.219,-0.46,-0.55,1,98,98,62.91,610.33,0.068,1
219104,1,-0.118,0.14,-0.29,1,0,-3,48.12,472.67,1.138,1
219105,1,-0.664,0.89,1.07,1,0,-3,56.85,551.9,-1.049,1
219106,1,1.138,0.99,1.03,1,0,-3,57.31,556.58,-0.238,1
219107,1,-0.933,0.47,0.41,1,0,-3,33.03,348.47,-1.049,3
219108,1,-0.672,1.16,1.07,1,1,5,51.03,497.58,-1.341,1
219109,1,-0.68,-0.17,-0.25,1,98,98,55.88,542.26,-9,1
219110,2,-0.933,1.09,1.13,1,0,-3,50.22,490.63,-0.277,1
219111,2,-0.933,1.06,1.24,1,0,-3,62.46,606.88,-0.827,1
219112,1,-0.453,0.64,0.64,1,0,-3,56.03,543.78,-1.138,1
219113,1,-9,1.06,1.19,2,1,0,66.3,634.86,-9,1
219114,1,-0.933,-0.67,-0.58,1,1,5,54.8,531.76,-0.516,6
219115,2,-0.933,0.85,0.71,1,0,-3,57.86,562.19,-0.827,1
219116,1,-2.197,1.35,1.39,3,98,98,79.98,713.75,-0.289,6
219117,1,-0.933,0.34,0.18,1,0,-3,60.43,588.51,-0.535,1
219118,2,-9,0.9,0.81,1,98,98,59.03,574.14,-9,1
219119,2,-0.695,1.22,1.4,1,0,-3,53.23,517.1,-0.529,1
219120,2,0.331,-0.86,-0.75,1,0,-3,54.41,528.02,0.029,1
219121,1,0.109,0.59,0.64,1,0,-3,51.64,502.87,-0.282,1
219122,1,0.331,1.39,1.57,2,0,-3,61.73,601.18,0.326,1
219123,2,0.958,-1.51,-1.34,1,0,-3,28.09,327.72,-0.858,1
219124,2,0.631,0.24,0.23,1,0,-3,51.17,498.79,1.48,1
219125,1,-0.111,1.11,1.29,2,0,-3,59.8,582.1,-0.485,1
219201,2,-0.41,-0.84,-0.69,1,98,98,36.92,371.29,0.694,8
219202,2,-1.383,-0.58,-0.5,1,0,-3,31.95,343.21,-1.049,1
219204,2,-0.745,-0.29,-0.14,1,0,-3,42.11,418.15,-0.535,1
219205,1,-0.214,1.01,1.01,1,0,-3,29.8,333.98,-0.535,6
219206,1,-9,-1.78,-1.67,1,1,1,45.65,451.07,-0.263,6
219207,2,0.174,-1.14,-1.03,1,98,98,37.58,375.71,-9,9
219208,1,-9,0.88,0.88,1,98,98,51.83,504.56,-9,1
219209,1,0.143,-0.28,-0.38,1,98,98,52.54,510.87,0.326,1
219210,2,0.9,-0.52,-0.53,1,1,2,41.08,408.19,-0.56,2
219211,2,-9,0.35,0.12,1,0,-3,40.02,397.88,-9,1
